,Over,Bowler,Batter,Ball Type,Shot Type,Speed (km/h),Runs
0,18.1,"18.1
6
McCoy",Gill,Normal,Six,N/A,6
1,17.6,"17.6
2
Ashwin",Miller,Normal,Six,N/A,6
2,17.5,"17.5
1
Ashwin",Gill,Wide,None,N/A,0
3,17.4,"17.4
•
Ashwin",Gill,Normal,None,N/A,0
4,17.3,"17.3
1
Ashwin",Miller,Normal,None,N/A,0
5,17.2,"17.2
1
Ashwin",Gill,Wicket,None,N/A,0
6,17.1,"17.1
•
Ashwin",Gill,Normal,None,N/A,0
7,16.6,"16.6
2
Prasidh",Miller,Normal,None,N/A,0
8,16.5,"16.5
4
Prasidh",Miller,Wicket,None,N/A,0
9,16.5,"16.5
1w
Prasidh",Miller,Wide,None,N/A,0
10,16.4,"16.4
4
Prasidh",Miller,Normal,Boundary,N/A,4
11,16.3,"16.3
•
Prasidh",Miller,Normal,None,N/A,0
12,16.2,"16.2
2
Prasidh",Miller,Wicket,None,N/A,0
13,16.1,"16.1
•
Prasidh",Miller,Normal,None,N/A,0
14,15.6,"15.6
1
Ashwin",Miller,Normal,None,N/A,0
15,15.5,"15.5
1
Ashwin",Gill,Wicket,Single,N/A,1
16,15.4,"15.4
1
Ashwin",Miller,Normal,None,N/A,0
17,15.3,"15.3
6
Ashwin",Miller,Normal,Six,N/A,6
18,15.2,"15.2
1
Ashwin",Gill,Normal,None,N/A,0
19,15.1,"15.1
2
Ashwin",Gill,Normal,None,N/A,0
