Country,Year,Cell_Phone_Total
Finland,1980,24
Norway,1981,1670
Denmark,1982,7200
UAE,1983,3560
UAE,1984,4940
Austria,1985,9760
France,1986,9060
Belgium,1987,7220
Turkey,1988,9850
China,1989,9810
Venezuela,1990,7420
Pakistan,1991,8500
Cyprus,1992,9740
Nigeria,1993,9050
Iran,1994,9200
Romania,1995,9070
Kazakhstan,1996,9800
Gabon,1997,9500
Lesotho,1998,9830
"San Marino",1999,9580
"Kyrgyz Republic",2000,9000
Gibraltar,2001,9800
"St. Vincent and the Grenadines",2002,9980
Turkmenistan,2003,9190
Comoros,2004,8380
Palau,2005,6050
Palau,2006,8350
Tuvalu,2007,1800
Kiribati,2008,1000
Kiribati,2009,9910
Nauru,2010,6200
Nauru,2011,6700
Nauru,2012,6800
Tuvalu,2013,3400
Tuvalu,2014,3800
Nauru,2015,9400
Nauru,2016,9900
Tuvalu,2017,8000
Tuvalu,2018,8500
Tuvalu,2019,9000
Tuvalu,2020,9000
Tuvalu,2021,9000
Suriname,2022,929
Suriname,2023,989
